Month,1-19,20-49,1-49,50-499,500+,500-999,1000+
2014-12-31,26461.7872493,16314.6801897,42776.467439,35265.2278048,20856.8237862,6118.54016471,14738.2836215
2015-01-31,26466.2326336,16349.3044704,42815.537104,35334.76583,20922.008656,6140.93441426,14781.0742418
2015-02-28,26485.1344261,16391.752035,42876.886461,35399.402426,20984.602983,6148.83537202,14835.767611
2015-03-31,26509.451342,16424.834966,42934.286308,35462.1569139,21045.3567781,6152.04612877,14893.3106493
2015-04-30,26537.8230356,16459.7830261,42997.6060618,35508.9803589,21091.7649793,6156.59320551,14935.1717738
2015-05-31,26593.6493883,16506.7241827,43100.3735709,35562.395654,21160.1523951,6161.71450803,14998.4378871
2015-06-30,26631.9894523,16556.8311248,43188.8205771,35614.4951642,21250.8649587,6185.30975807,15065.5552006
2015-07-31,26670.5126316,16598.3565843,43268.8692159,35664.8251832,21345.2912109,6195.95065939,15149.3405515
2015-08-31,26693.357958,16617.4690226,43310.8269807,35686.0366589,21396.4070304,6200.64491908,15195.7621113
2015-09-30,26722.6117156,16655.9658819,43378.5775975,35746.3337963,21447.0322262,6212.91617339,15234.1160529
2015-10-31,26757.294616,16700.4983156,43457.7929316,35778.5394587,21504.2612297,6224.67868068,15279.582549
2015-11-30,26795.0401915,16731.3730119,43526.4132034,35810.7556292,21595.0846674,6238.679379,15356.4052884
2015-12-31,26831.8333313,16779.9557624,43611.7890937,35871.7118265,21643.0836297,6265.60278468,15377.4808451
2016-01-31,26843.9595966,16809.8388597,43653.7984563,35951.7704977,21691.457036,6258.6648657,15432.7921703
2016-02-29,26891.0326273,16854.4309037,43745.463531,36012.3307011,21797.0931979,6273.52822429,15523.5649736
2016-03-31,26925.282744,16886.7538594,43812.0366034,36060.7371712,21881.7262254,6287.78035216,15593.9458732
2016-04-30,26967.3259041,16913.2730435,43880.5989476,36070.5137136,21904.4083388,6298.37561435,15606.0327244
2016-05-31,26983.9713115,16927.6197045,43911.591016,36087.6852363,21939.4397477,6308.01996188,15631.4197858
