Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1891-04-30,4.97,0.22,0.3067,8.087381157,3.615,151.21850494724,6.6937768789522,9.3317334944301,15.408945125474
1891-05-31,4.95,0.22,0.3108,7.992232066,3.6133333333333,152.4030211387,6.7734676061645,9.5690624181633,15.566495230713
1891-06-30,4.85,0.22,0.315,7.801941983,3.6116666666667,152.96620253014,6.9386731044601,9.9349183086587,15.658211395638
1891-07-31,4.77,0.22,0.3192,7.706792893,3.61,152.30043856065,7.0243388853969,10.191677146449,15.617919238646
1891-08-31,4.93,0.22,0.3233,7.706792893,3.6083333333333,157.40904865912,7.0243388853969,10.322585280222,16.163998509963
1891-09-30,5.33,0.22,0.3275,7.611651901,3.6066666666667,172.30772696367,7.1121388240164,10.587388476661,17.711261413257
1891-10-31,5.33,0.22,0.3317,7.611651901,3.605,172.30772696367,7.1121388240164,10.723165672392,17.716568589826
1891-11-30,5.25,0.22,0.3358,7.51650281,3.6033333333333,171.86994672327,7.2021691960227,10.993129163747,17.671739174764
1891-12-31,5.41,0.22,0.34,7.51650281,3.6016666666667,177.10788795674,7.2021691960227,11.130625121126,18.20630300021
1892-01-31,5.51,0.2217,0.3425,7.326212727,3.6,185.06680914454,7.4463360412603,11.503699116516,19.016388404225
1892-02-29,5.52,0.2233,0.345,7.326212727,3.6125,185.4026835713,7.5000759495418,11.587667723206,19.036425040978
1892-03-31,5.58,0.225,0.3475,7.135922645,3.625,192.41571038639,7.7586979994512,11.982878021375,19.738054849323
1892-04-30,5.57,0.2267,0.35,7.040773554,3.6375,194.66652733368,7.9229626115881,12.232187534432,19.943265241639
1892-05-31,5.57,0.2283,0.3525,7.040773554,3.65,194.66652733368,7.978881183174,12.319560302535,19.91146521349
1892-06-30,5.54,0.23,0.355,7.040773554,3.6625,193.61805411644,8.0382946654841,12.406933070639,19.769284397137
1892-07-31,5.54,0.2317,0.3575,7.231071736,3.675,188.52265954066,7.8846029269983,12.16549653173,19.211886434506
1892-08-31,5.62,0.2333,0.36,7.326212727,3.6875,188.76142783889,7.8359503763014,12.091479363346,19.204303803174
1892-09-30,5.48,0.235,0.3625,7.326212727,3.7,184.05918586426,7.8930490288506,12.175447970035,18.694271809588
1892-10-31,5.59,0.2367,0.365,7.326212727,3.7125,187.75380455862,7.9501476813997,12.259416576725,19.040214915325
1892-11-30,5.57,0.2383,0.3675,7.51650281,3.725,182.34582919021,7.8012587246009,12.030896270629,18.4633126908
1892-12-31,5.51,0.24,0.37,7.611651901,3.7375,178.12674963786,7.7586968989269,11.961324385846,18.013009251276
1893-01-31,5.61,0.2408,0.3608,7.897091074,3.75,174.80432662666,7.5031874958468,11.242317477166,17.656643708099
1893-02-28,5.51,0.2417,0.3517,7.992232066,3.7458333333333,169.6445750453,7.4415778200452,10.828311623127,17.125193854872
1893-03-31,5.31,0.2425,0.3425,7.801941983,3.7416666666667,167.4743372031,7.6483101265071,10.802252446716,16.899589031582
1893-04-30,5.31,0.2433,0.3333,7.706792893,3.7375,169.54199764299,7.7682802309866,10.641873411376,17.102541578255
1893-05-31,4.84,0.2442,0.3242,7.611651901,3.7333333333333,156.46705412836,7.8944740946582,10.4807063943,15.780987310776
1893-06-30,4.61,0.245,0.315,7.421361818,3.7291666666667,152.85293525895,8.1234206374063,10.444397962379,15.416503863598
1893-07-31,4.18,0.2458,0.3058,7.231071736,3.725,142.24272867869,8.3644169160819,10.406178571757,14.349854182761
1893-08-31,4.08,0.2467,0.2967,6.945632562,3.7208333333333,144.54558185135,8.7400478045904,10.511439739043,14.588056535808
1893-09-30,4.37,0.2475,0.2875,7.231071736,3.7166666666667,148.708307255,8.4222668296593,9.783441266776,15.012069079139
1893-10-31,4.5,0.2483,0.2783,7.326212727,3.7125,151.14349204182,8.3397620164408,9.3473852967196,15.27179415352
1893-11-30,4.57,0.2492,0.2692,7.135922645,3.7083333333333,157.58777714441,8.5931890731699,9.2828511175656,15.942411400572
1893-12-31,4.41,0.25,0.26,7.040773554,3.7041666666667,154.12556293385,8.7372768103088,9.0867678827212,15.612694335465
1894-01-31,4.32,0.2467,0.2517,6.850483471,3.7,155.17401136723,8.8614418065501,9.0410413567437,15.739869351948
1894-02-28,4.38,0.2433,0.2433,6.755342479,3.68,159.5450013601,8.862396993359,8.862396993359,16.20273659645
1894-03-31,4.51,0.24,0.235,6.565052397,3.66,169.04207238424,8.9955870004917,8.8081789379814,17.187622088122
1894-04-30,4.57,0.2367,0.2267,6.565052397,3.64,171.29096913436,8.8718976792349,8.4970815542144,17.434849078052
1894-05-31,4.4,0.2333,0.2183,6.565052397,3.62,164.91909500901,8.744460196728,8.1822360091972,16.808751920918
1894-06-30,4.34,0.23,0.21,6.565052397,3.6,162.67019825889,8.6207708754712,7.8711386254302,16.606319695293
1894-07-31,4.25,0.2267,0.2017,6.565052397,3.58,159.29685313371,8.4970815542144,7.5600412416632,16.289679714917
